"source","source_text","target","target_text"
"iahperson_00000015","andrew perrin","sh0000081","digital humanities"
"iahperson_00000015","andrew perrin","sh0000189","citizenship"
"iahperson_00000015","andrew perrin","sh0000233","democracy"
"iahperson_00000015","andrew perrin","sh0000336","cultural science"
"iahperson_00000015","andrew perrin","sh0000421","political science"
"iahperson_00000015","andrew perrin","sh0000512","american studies"
"iahperson_00000016","andrew reynolds","sh0000233","democracy"
"iahperson_00000016","andrew reynolds","sh0000422","electoral politics"
"iahperson_00000016","andrew reynolds","sh0000503","constitutional design"
"iahperson_00000016","andrew reynolds","sh0000564","democratization"
"iahperson_00000018","anna agbe-davies","sh0000110","african american studies"
"iahperson_00000018","anna agbe-davies","sh0000130","archaeology"
"iahperson_00000018","anna agbe-davies","sh0000171","caribbean"
"iahperson_00000018","anna agbe-davies","sh0000307","history"
"iahperson_00000018","anna agbe-davies","sh0000359","comparative literature"
"iahperson_00000018","anna agbe-davies","sh0000376","midwest"
"iahperson_00000018","anna agbe-davies","sh0000473","southeastern america"
"iahperson_00000018","anna agbe-davies","sh0000512","american studies"
"iahperson_00000018","anna agbe-davies","sh0000545","african diaspora"
"iahperson_00000020","anne macneil","sh0000081","digital humanities"
"iahperson_00000020","anne macneil","sh0000094","performance studies"
"iahperson_00000020","anne macneil","sh0000207","commedia dell’arte"
"iahperson_00000020","anne macneil","sh0000306","historiography"
"iahperson_00000020","anne macneil","sh0000380","music"
"iahperson_00000020","anne macneil","sh0000399","opera"
"iahperson_00000020","anne macneil","sh0000442","renaissance studies"
"iahperson_00000021","annegret fauser","sh0000277","exoticism"
"iahperson_00000021","annegret fauser","sh0000290","french studies"
"iahperson_00000021","annegret fauser","sh0000380","music"
"iahperson_00000021","annegret fauser","sh0000381","19th century music"
"iahperson_00000021","annegret fauser","sh0000382","20th century music"
"iahperson_00000021","annegret fauser","sh0000388","nationalism"
"iahperson_00000021","annegret fauser","sh0000399","opera"
"iahperson_00000021","annegret fauser","sh0000512","american studies"
"iahperson_00000021","annegret fauser","sh0000524","women's studies"
"iahperson_00000021","annegret fauser","sh0000572","cultural transfer"
"iahperson_00000021","annegret fauser","sh0000657","cultural musicology"
"iahperson_00000022","arturo escobar ","sh0000242","ecology"
"iahperson_00000022","arturo escobar ","sh0000344","latin american studies"
"iahperson_00000022","arturo escobar ","sh0000464","social movements"
"iahperson_00000022","arturo escobar ","sh0000469","sociology"
"iahperson_00000022","arturo escobar ","sh0000545","african diaspora"
"iahperson_00000022","arturo escobar ","sh0000563","political ecology"
"iahperson_00000022","arturo escobar ","sh0000613","design"
"iahperson_00000022","arturo escobar ","sh0000034","anti-globalization"
"iahperson_00000022","arturo escobar ","sh0000127","anthropology of development"
"iahperson_00000022","arturo escobar ","sh0000204","colombia"
"iahperson_00000025","barbara ambros","sh0000048","space"
"iahperson_00000025","barbara ambros","sh0000123","place"
"iahperson_00000025","barbara ambros","sh0000309","human-animal relationships"
"iahperson_00000025","barbara ambros","sh0000414","pilgrimage"
"iahperson_00000025","barbara ambros","sh0000531","sacred space"
"iahperson_00000025","barbara ambros","sh0000741","Japan--Religion"
"iahperson_00000025","barbara ambros","sh0000742","Women and religion"
"iahperson_00000025","barbara ambros","sh0000082","Japan--History--Study and teaching"
"iahperson_00000025","barbara ambros","sh0000743","Mountain worship--Japan"
"iahperson_00000025","barbara ambros","sh0000744","Mountain worship"
"iahperson_00000025","barbara ambros","sh0000745","Ōyama (Kanagawa-ken, Japan)"
"iahperson_00000025","barbara ambros","sh0000746","Pets--Death--Religious aspects--Buddhism, [Christianity, etc.]"
"iahperson_00000025","barbara ambros","sh0000747","Pets--Funeral rites and ceremonies"
"iahperson_00000025","barbara ambros","sh0000748","Buddhist memorial rites and ceremonies"
"iahperson_00000025","barbara ambros","sh0000309","Human-animal relationships"
"iahperson_00000025","barbara ambros","sh0000750","Animals--Religious aspects"
"iahperson_00000029","bart ehrman","sh0000126","apostolic fathers"
"iahperson_00000029","bart ehrman","sh0000153","early christian apocrypha"
"iahperson_00000029","bart ehrman","sh0000186","christianity"
"iahperson_00000029","bart ehrman","sh0000440","religious studies"
"iahperson_00000029","bart ehrman","sh0000606","history of early christianity"
"iahperson_00000029","bart ehrman","sh0000651","historical jesus"
"iahperson_00000030","benjamin waterhouse","sh0000089","business history"
"iahperson_00000030","benjamin waterhouse","sh0000170","capitalism"
"iahperson_00000030","benjamin waterhouse","sh0000244","economic history"
"iahperson_00000030","benjamin waterhouse","sh0000461","economic class"
"iahperson_00000030","benjamin waterhouse","sh0000499","20th century"
"iahperson_00000030","benjamin waterhouse","sh0000509","american politics"
"iahperson_00000030","benjamin waterhouse","sh0000512","american studies"
"iahperson_00000030","benjamin waterhouse","sh0000540","labor"
"iahperson_00000034","beverly taylor","sh0000259","english literature from 1789 to 1900 (nineteenth-century british literature)"
"iahperson_00000034","beverly taylor","sh0000417","poetry"
"iahperson_00000034","beverly taylor","sh0000524","women's studies"
"iahperson_00000034","beverly taylor","sh0000577","elizabeth barrett browning"
"iahperson_00000035","bland simpson","sh0000063","american music"
"iahperson_00000035","bland simpson","sh0000075","southern literature"
"iahperson_00000035","bland simpson","sh0000201","coastal studies"
"iahperson_00000035","bland simpson","sh0000224","creative writing"
"iahperson_00000035","bland simpson","sh0000385","songwriting"
"iahperson_00000035","bland simpson","sh0000393","writing on the natural world"
"iahperson_00000035","bland simpson","sh0000512","american studies"
"iahperson_00000036","brent wissick","sh0000175","chamber music"
"iahperson_00000036","brent wissick","sh0000380","music"
"iahperson_00000036","brent wissick","sh0000517","viola"
"iahperson_00000036","brent wissick","sh0000519","cello"
"iahperson_00000036","brent wissick","sh0000674","french gamba music"
"iahperson_00000037","brett whalen","sh0000040","early modern studies"
"iahperson_00000037","brett whalen","sh0000040","early modern studies"
"iahperson_00000037","brett whalen","sh0000193","intellectual and cultural history"
"iahperson_00000037","brett whalen","sh0000193","cultural history"
"iahperson_00000037","brett whalen","sh0000197","Medieval studies"
"iahperson_00000037","brett whalen","sh0000197","medieval studies"
"iahperson_00000037","brett whalen","sh0000229","crusades"
"iahperson_00000037","brett whalen","sh0000321","intellectual history"
"iahperson_00000037","brett whalen","sh0000440","religious studies"
"iahperson_00000038","brian hogan","sh0000157","biochemistry"
"iahperson_00000038","brian hogan","sh0000177","chemistry"
"iahperson_00000038","brian hogan","sh0000305","latino studies"
"iahperson_00000038","brian hogan","sh0000344","latin american studies"
"iahperson_00000038","brian hogan","sh0000419","community involvement"
"iahperson_00000038","brian hogan","sh0000546","molecular biology "
"iahperson_00000039","brooks de wetter smith","sh0000012","brazil"
"iahperson_00000039","brooks de wetter smith","sh0000103","african studies"
"iahperson_00000039","brooks de wetter smith","sh0000104","west africa"
"iahperson_00000039","brooks de wetter smith","sh0000129","arabic music"
"iahperson_00000039","brooks de wetter smith","sh0000218","concerto soloist"
"iahperson_00000039","brooks de wetter smith","sh0000331","jazz"
"iahperson_00000039","brooks de wetter smith","sh0000395","middle east studies"
"iahperson_00000040","Cara McComish","sh0000807","Language disorders"
"iahperson_00000040","Cara McComish","sh0000808","Language disorders in children"
"iahperson_00000040","Cara McComish","sh0000526","Youth"
"iahperson_00000040","Cara McComish","sh0000809","Autism"
"iahperson_00000040","Cara McComish","sh0000810","Autism spectrum disorders"
"iahperson_00000040","Cara McComish","sh0000812","Autism in children--Treatment"
"iahperson_00000040","Cara McComish","sh0000813","Autism spectrum disorders in children"
"iahperson_00000041","carl w. ernst","sh0000128","arabic"
"iahperson_00000041","carl w. ernst","sh0000140","asian studies"
"iahperson_00000041","carl w. ernst","sh0000326","islamic studies"
"iahperson_00000041","carl w. ernst","sh0000394","West asia"
"iahperson_00000041","carl w. ernst","sh0000440","religious studies"
"iahperson_00000041","carl w. ernst","sh0000472","south asia"
"iahperson_00000041","carl w. ernst","sh0000515","urdu"
"iahperson_00000041","carl w. ernst","sh0000650","indo-muslim culture"
"iahperson_00000041","carl w. ernst","sh0000658","indo-muslim culture"
"iahperson_00000042","carmen hsu","sh0000011","cervantes"
"iahperson_00000042","carmen hsu","sh0000021","literature of exploration and discovery"
"iahperson_00000042","carmen hsu","sh0000040","early modern studies"
"iahperson_00000042","carmen hsu","sh0000040","early modern studies"
"iahperson_00000042","carmen hsu","sh0000042","literature"
"iahperson_00000042","carmen hsu","sh0000197","Medieval studies"
"iahperson_00000042","carmen hsu","sh0000478","spanish"
"iahperson_00000042","carmen hsu","sh0000524","women's studies"
"iahperson_00000042","carmen hsu","sh0000617","humanist treatises"
"iahperson_00000042","carmen hsu","sh0000672","early modern spanish theater"
"iahperson_00000044","carole blair","sh0000048","space"
"iahperson_00000044","carole blair","sh0000443","rhetoric"
"iahperson_00000044","carole blair","sh0000512","american studies"
"iahperson_00000044","carole blair","sh0000520","visual rhetoric "
"iahperson_00000044","carole blair","sh0000520","visual studies"
"iahperson_00000044","carole blair","sh0000529","memory"
"iahperson_00000047","cary levine","sh0000032","contemporary art"
"iahperson_00000047","cary levine","sh0000081","digital humanities"
"iahperson_00000047","cary levine","sh0000133","art"
"iahperson_00000047","cary levine","sh0000134","art and politics"
"iahperson_00000051","cemil aydin","sh0000140","asian studies"
"iahperson_00000051","cemil aydin","sh0000232","decolonization"
"iahperson_00000051","cemil aydin","sh0000313","colonialism"
"iahperson_00000051","cemil aydin","sh0000326","islamic studies"
"iahperson_00000051","cemil aydin","sh0000395","middle east studies"
"iahperson_00000051","cemil aydin","sh0000432","race"
"iahperson_00000051","cemil aydin","sh0000573","orientalism"
"iahperson_00000051","cemil aydin","sh0000649","internationalism"
"iahperson_00000052","charlene regester","sh0000091","film"
"iahperson_00000052","charlene regester","sh0000110","african american studies"
"iahperson_00000052","charlene regester","sh0000111","african american cinema"
"iahperson_00000052","charlene regester","sh0000239","drama"
"iahperson_00000052","charlene regester","sh0000261","entertainment"
"iahperson_00000052","charlene regester","sh0000432","race"
"iahperson_00000052","charlene regester","sh0000458","slavery"
"iahperson_00000054","charles d.c. reeve","sh0000006","aristotle"
"iahperson_00000054","charles d.c. reeve","sh0000091","film"
"iahperson_00000054","charles d.c. reeve","sh0000406","philosophy"
"iahperson_00000054","charles d.c. reeve","sh0000407","ancient greek philosophy"
"iahperson_00000054","charles d.c. reeve","sh0000456","sexuality"
"iahperson_00000055","charles kurzman","sh0000233","democracy"
"iahperson_00000055","charles kurzman","sh0000326","islamic studies"
"iahperson_00000055","charles kurzman","sh0000395","middle east studies"
"iahperson_00000055","charles kurzman","sh0000469","sociology"
"iahperson_00000055","charles kurzman","sh0000493","terrorism"
"iahperson_00000056","charles price","sh0000110","african american studies"
"iahperson_00000056","charles price","sh0000164","black identity"
"iahperson_00000056","charles price","sh0000312","identity formation"
"iahperson_00000056","charles price","sh0000400","oral history"
"iahperson_00000056","charles price","sh0000419","community organizations"
"iahperson_00000056","charles price","sh0000463","social justice"
"iahperson_00000056","charles price","sh0000464","social movements"
"iahperson_00000056","charles price","sh0000512","american studies"
"iahperson_00000056","Charles Price","sh0000751","Rastafari movement"
"iahperson_00000056","Charles Price","sh0000752","Identification (Religion)"
"iahperson_00000056","Charles Price","sh0000753","Jamaica--Religion"
"iahperson_00000056","Charles Price","sh0000754","Public welfare"
"iahperson_00000057","cherie ndaliko","sh0000058","cultural theory"
"iahperson_00000057","cherie ndaliko","sh0000091","film"
"iahperson_00000057","cherie ndaliko","sh0000103","african studies"
"iahperson_00000057","cherie ndaliko","sh0000267","ethnomusicology"
"iahperson_00000057","cherie ndaliko","sh0000313","imperialism"
"iahperson_00000057","cherie ndaliko","sh0000364","media"
"iahperson_00000057","cherie ndaliko","sh0000465","social engagement"
"iahperson_00000057","cherie ndaliko","sh0000522","conflict"
"iahperson_00000057","cherie ndaliko","sh0000572","global studies"
"iahperson_00000058","chris nelson","sh0000140","asian studies"
"iahperson_00000058","chris nelson","sh0000266","ethnography"
"iahperson_00000058","chris nelson","sh0000307","history"
"iahperson_00000058","chris nelson","sh0000307","*history* and memory (philosophy)"
"iahperson_00000058","chris nelson","sh0000353","everyday life"
"iahperson_00000058","chris nelson","sh0000482","storytelling"
"iahperson_00000058","chris nelson","sh0000529","memory"
"iahperson_00000058","chris nelson","sh0000529","memory"
"iahperson_00000058","chris nelson","sh0000530","critical theory"
"iahperson_00000059","christian lentz","sh0000046","borderlands"
"iahperson_00000059","christian lentz","sh0000115","agrarian political economy"
"iahperson_00000059","christian lentz","sh0000123","human geography"
"iahperson_00000059","christian lentz","sh0000140","asian studies"
"iahperson_00000059","christian lentz","sh0000142","southeast asia"
"iahperson_00000059","christian lentz","sh0000388","nationalism"
"iahperson_00000059","christian lentz","sh0000527","state formation"
"iahperson_00000059","christian lentz","sh0000562","post-colonial studies"
"iahperson_00000064","connie eble","sh0000120","old english"
"iahperson_00000064","connie eble","sh0000121","old english literature"
"iahperson_00000064","connie eble","sh0000215","composition"
"iahperson_00000064","connie eble","sh0000254","the english language"
"iahperson_00000064","connie eble","sh0000256","middle english literature"
"iahperson_00000064","connie eble","sh0000354","traditional american descriptive lingusitics"
"iahperson_00000064","connie eble","sh0000354","linguistics"
"iahperson_00000064","connie eble","sh0000389","vernacular"
"iahperson_00000064","connie eble","sh0000473","american south"
"iahperson_00000064","connie eble","sh0000512","american studies"
"iahperson_00000064","connie eble","sh0000631","germanic philology"
"iahperson_00000064","connie eble","sh0000676","social function of vocabulary"
"iahperson_00000065","cori dauber","sh0000081","digital humanities"
"iahperson_00000065","cori dauber","sh0000208","communication strategies"
"iahperson_00000065","cori dauber","sh0000403","peace"
"iahperson_00000065","cori dauber","sh0000435","extremism"
"iahperson_00000065","cori dauber","sh0000493","terrorism"
"iahperson_00000065","cori dauber","sh0000520","visual imagery"
"iahperson_00000065","cori dauber","sh0000521","War / defense"
"iahperson_00000065","cori dauber","sh0000522","conflict"
"iahperson_00000067","craig turner","sh0000100","actor training"
"iahperson_00000067","craig turner","sh0000378","mime"
"iahperson_00000069","dale hutchinson","sh0000083","bioarchaeology"
"iahperson_00000069","dale hutchinson","sh0000113","agriculture"
"iahperson_00000069","dale hutchinson","sh0000114","agricultural origins and consequences"
"iahperson_00000069","dale hutchinson","sh0000287","forensic anthropology"
"iahperson_00000069","dale hutchinson","sh0000303","health and nutrition"
"iahperson_00000069","dale hutchinson","sh0000471","south america"
"iahperson_00000069","dale hutchinson","sh0000473","southeastern and mid-atlantic united states"
"iahperson_00000069","dale hutchinson","sh0000512","american studies"
"iahperson_00000069","dale hutchinson","sh0000659","health and nutrition"
"iahperson_00000069","dale hutchinson","sh0000666","human osteology"
"iahperson_00000070","daniel anderson","sh0000051","social web"
"iahperson_00000070","daniel anderson","sh0000081","digital humanities"
"iahperson_00000070","daniel anderson","sh0000215","composition"
"iahperson_00000070","daniel anderson","sh0000216","digital literacy"
"iahperson_00000070","daniel anderson","sh0000443","rhetoric"
"iahperson_00000071","daniel cobb","sh0000156","ethnobiography"
"iahperson_00000071","daniel cobb","sh0000265","ethnobiography"
"iahperson_00000071","daniel cobb","sh0000316","american indian studies"
"iahperson_00000071","daniel cobb","sh0000512","american studies"
"iahperson_00000071","daniel cobb","sh0000529","memory"
"iahperson_00000071","daniel cobb","sh0000572","global studies"
"iahperson_00000071","daniel cobb","sh0000572","global indigenous rights"
"iahperson_00000071","daniel cobb","sh0000581","global indigenous rights"
"iahperson_00000071","daniel cobb","sh0000581","indigenous rights"
"iahperson_00000071","daniel cobb","sh0000590","ethnohistorical methods"
"iahperson_00000072","daniel sherman","sh0000130","archaeology"
"iahperson_00000072","daniel sherman","sh0000137","modern art"
"iahperson_00000072","daniel sherman","sh0000193","cultural history"
"iahperson_00000072","daniel sherman","sh0000290","french studies"
"iahperson_00000072","daniel sherman","sh0000290","french cultural history"
"iahperson_00000072","daniel sherman","sh0000313","empire"
"iahperson_00000072","daniel sherman","sh0000364","media"
"iahperson_00000072","daniel sherman","sh0000499","20th century"
"iahperson_00000074","dave pier","sh0000022","african music"
"iahperson_00000074","dave pier","sh0000038","politics"
"iahperson_00000074","dave pier","sh0000087","cultural production in africa"
"iahperson_00000074","dave pier","sh0000105","african american art"
"iahperson_00000074","dave pier","sh0000108","african american music"
"iahperson_00000074","dave pier","sh0000110","african american studies"
"iahperson_00000074","dave pier","sh0000133","art"
"iahperson_00000074","dave pier","sh0000223","cultural production"
"iahperson_00000074","dave pier","sh0000267","ethnomusicology"
"iahperson_00000074","dave pier","sh0000331","jazz"
"iahperson_00000074","dave pier","sh0000380","music"
"iahperson_00000074","dave pier","sh0000501","uganda"
"iahperson_00000075","david baker","sh0000081","digital humanities"
"iahperson_00000075","david baker","sh0000151","bards"
"iahperson_00000075","david baker","sh0000257","english literature from 1485 to 1660 (including milton)"
"iahperson_00000075","david baker","sh0000325","irish literature"
"iahperson_00000075","david baker","sh0000787","English literature--Early modern, 1500-1700--History and criticism"
"iahperson_00000075","david baker","sh0000166","Books--History"
"iahperson_00000075","david baker","sh0000788","Book industries and trade"
"iahperson_00000075","david baker","sh0000789","Economics and literature"
"iahperson_00000075","david baker","sh0000790","Consumption (Economics)"
"iahperson_00000075","david baker","sh0000791","Authors and patrons"
"iahperson_00000075","david baker","sh0000792","Politics and literature--Great Britain--History--16th century"
"iahperson_00000075","david baker","sh0000793","Politics and literature--Great Britain--History--17th century"
"iahperson_00000075","david baker","sh0000794","National characteristics, British, in literature"
"iahperson_00000075","david baker","sh0000795","Politics and literature"
"iahperson_00000075","david baker","sh0000298","Great Britain"
"iahperson_00000075","david baker","sh0000796","Literature and history--Great Britain"
"iahperson_00000075","david baker","sh0000797","Nationalism in literature"
"iahperson_00000075","david baker","sh0000798","Renaissance--England"
"iahperson_00000075","david baker","sh0000799","Great Britain--In literature"
"iahperson_00000075","david baker","sh0000800","England--In literature"
"iahperson_00000080","debashis aikat","sh0000081","digital humanities"
"iahperson_00000080","debashis aikat","sh0000208","future of communication"
"iahperson_00000080","debashis aikat","sh0000236","digital communication"
"iahperson_00000080","debashis aikat","sh0000364","mass communication"
"iahperson_00000080","debashis aikat","sh0000584","social media"
"iahperson_00000080","debashis aikat","sh0000608","international communication"
"iahperson_00000082","Deborah Gerhardt","sh0000781","Intellectual property"
"iahperson_00000082","Deborah Gerhardt","sh0000782","Trademarks--Law and legislation"
"iahperson_00000082","Deborah Gerhardt","sh0000783","Law and art"
"iahperson_00000082","Deborah Gerhardt","sh0000133","Art"
"iahperson_00000082","Deborah Gerhardt","sh0000784","Deceptive advertising"
"iahperson_00000082","Deborah Gerhardt","sh0000785","Advertising"
"iahperson_00000082","Deborah Gerhardt","sh0000786","Plagiarism"
"iahperson_00000083","della pollock","sh0000094","performance"
"iahperson_00000083","della pollock","sh0000110","african american studies"
"iahperson_00000083","della pollock","sh0000163","biopolitics"
"iahperson_00000083","della pollock","sh0000266","ethnography"
"iahperson_00000083","della pollock","sh0000283","narrative fiction"
"iahperson_00000083","della pollock","sh0000306","historical narratives"
"iahperson_00000083","della pollock","sh0000371","medical"
"iahperson_00000083","della pollock","sh0000419","community involvement"
"iahperson_00000083","della pollock","sh0000432","race"
"iahperson_00000083","della pollock","sh0000440","religious studies"
"iahperson_00000083","della pollock","sh0000490","pedagogy"
"iahperson_00000083","della pollock","sh0000512","american studies"
"iahperson_00000083","della pollock","sh0000529","memory"
"iahperson_00000083","della pollock","sh0000548","cultural studies"
"iahperson_00000084","dennis zaborowski","sh0000133","fine art"
"iahperson_00000086","diane leonard","sh0000042","literature"
"iahperson_00000086","diane leonard","sh0000133","visual arts"
"iahperson_00000086","diane leonard","sh0000237","narrative"
"iahperson_00000086","diane leonard","sh0000239","drama"
"iahperson_00000086","diane leonard","sh0000289","4th dimension"
"iahperson_00000086","diane leonard","sh0000359","comparative literature"
"iahperson_00000086","diane leonard","sh0000365","math"
"iahperson_00000086","diane leonard","sh0000366","philosophy of mathematics"
"iahperson_00000086","diane leonard","sh0000424","postmodern"
"iahperson_00000086","diane leonard","sh0000499","20th century"
"iahperson_00000086","diane leonard","sh0000524","women's studies"
"iahperson_00000087","dino cervigni","sh0000003","boccaccio"
"iahperson_00000087","dino cervigni","sh0000156","biography"
"iahperson_00000087","dino cervigni","sh0000197","medieval studies"
"iahperson_00000087","dino cervigni","sh0000327","italian studies"
"iahperson_00000087","dino cervigni","sh0000359","comparative literature"
"iahperson_00000087","dino cervigni","sh0000417","poetry"
"iahperson_00000087","dino cervigni","sh0000442","renaissance studies"
"iahperson_00000087","dino cervigni","sh0000575","dante"
"iahperson_00000089","donald haggis","sh0000072","aegean state formation"
"iahperson_00000089","donald haggis","sh0000080","archaeology of prepalatial, protopalatial and early iron age crete"
"iahperson_00000089","donald haggis","sh0000130","archaeology"
"iahperson_00000089","donald haggis","sh0000188","urban studies"
"iahperson_00000089","donald haggis","sh0000194","aegean region"
"iahperson_00000089","donald haggis","sh0000196","classics"
"iahperson_00000089","donald haggis","sh0000199","classical archaeology"
"iahperson_00000089","donald haggis","sh0000228","cultural dynamics"
"iahperson_00000089","donald haggis","sh0000301","greek"
"iahperson_00000089","donald haggis","sh0000346","latin"
"iahperson_00000089","donald haggis","sh0000514","urbanization"
"iahperson_00000089","donald haggis","sh0000527","state formation"
"iahperson_00000090","donald m. nonini","sh0000030","transnationalism"
"iahperson_00000090","donald m. nonini","sh0000077","chinese in southeast asia"
"iahperson_00000090","donald m. nonini","sh0000140","asian studies"
"iahperson_00000090","donald m. nonini","sh0000142","southeast asia"
"iahperson_00000090","donald m. nonini","sh0000182","china"
"iahperson_00000090","donald m. nonini","sh0000265","ethnicity"
"iahperson_00000090","donald m. nonini","sh0000314","inequality"
"iahperson_00000090","donald m. nonini","sh0000418","political anthropology"
"iahperson_00000090","donald m. nonini","sh0000418","anthropology of the state"
"iahperson_00000090","donald m. nonini","sh0000432","race"
"iahperson_00000090","donald m. nonini","sh0000461","class"
"iahperson_00000090","donald m. nonini","sh0000461","class formation"
"iahperson_00000090","donald m. nonini","sh0000464","social movements"
"iahperson_00000090","donald m. nonini","sh0000473","american south"
"iahperson_00000090","donald m. nonini","sh0000512","american studies"
"iahperson_00000090","donald m. nonini","sh0000513","urban anthropology"
"iahperson_00000090","donald m. nonini","sh0000514","urbanism"
"iahperson_00000090","donald m. nonini","sh0000527","state formation"
"iahperson_00000090","donald m. nonini","sh0000535","urban commons"
"iahperson_00000090","donald m. nonini","sh0000572","global systems"
"iahperson_00000090","donald m. nonini","sh0000572","global studies"
"iahperson_00000090","donald m. nonini","sh0000683","gender"
"iahperson_00000092","donald reid","sh0000290","french studies"
"iahperson_00000092","donald reid","sh0000529","memory"
"iahperson_00000092","donald reid","sh0000540","labor"
"iahperson_00000093","donald searing","sh0000189","citizenship"
"iahperson_00000093","donald searing","sh0000212","comparative politics"
"iahperson_00000093","donald searing","sh0000251","elite"
"iahperson_00000093","donald searing","sh0000298","britain"
"iahperson_00000093","donald searing","sh0000420","political psychology"
"iahperson_00000093","donald searing","sh0000431","psychology"
"iahperson_00000093","donald searing","sh0000512","american studies"
"iahperson_00000095","dorit bar-on","sh0000337","epistemology"
"iahperson_00000095","dorit bar-on","sh0000341","philosophy of language"
"iahperson_00000095","dorit bar-on","sh0000354","linguistics"
"iahperson_00000095","dorit bar-on","sh0000406","philosophy"
"iahperson_00000095","dorit bar-on","sh0000439","conceptual relativism"
"iahperson_00000095","dorit bar-on","sh0000537","philosophy of mind"
"iahperson_00000098","dorothy h. verkerk","sh0000136","medieval art"
"iahperson_00000098","dorothy h. verkerk","sh0000186","christianity"
"iahperson_00000098","dorothy h. verkerk","sh0000197","medieval studies"
"iahperson_00000098","dorothy h. verkerk","sh0000414","pilgrimage"
"iahperson_00000098","dorothy h. verkerk","sh0000440","religious studies"
"iahperson_00000098","dorothy h. verkerk","sh0000611","text"
"iahperson_00000098","dorothy h. verkerk","sh0000675","interplay between images and texts"
"iahperson_00000100","elin o'hara slavick","sh0000025","family"
"iahperson_00000100","elin o'hara slavick","sh0000031","visualizing science"
"iahperson_00000100","elin o'hara slavick","sh0000085","body politics"
"iahperson_00000100","elin o'hara slavick","sh0000165","body imaging"
"iahperson_00000100","elin o'hara slavick","sh0000214","conceptual photography"
"iahperson_00000100","elin o'hara slavick","sh0000245","economics"
"iahperson_00000100","elin o'hara slavick","sh0000278","feminism"
"iahperson_00000100","elin o'hara slavick","sh0000323","personal relationships"
"iahperson_00000100","elin o'hara slavick","sh0000409","photography"
"iahperson_00000100","elin o'hara slavick","sh0000524","women's studies"
"iahperson_00000100","elin o'hara slavick","sh0000529","memory"
"iahperson_00000100","elin o'hara slavick","sh0000540","labor"
"iahperson_00000100","elin o'hara slavick","sh0000572","global studies"
"iahperson_00000100","elin o'hara slavick","sh0000604","studio art"
"iahperson_00000101","eliza richards","sh0000056","atlantic world"
"iahperson_00000101","eliza richards","sh0000417","poetry"
"iahperson_00000101","eliza richards","sh0000444","romanticism"
"iahperson_00000101","eliza richards","sh0000505","19th century america"
